,index,action,adventure,animation,children,comedy,crime,date,documentary,drama,fantasy,horror,id,musical,mystery,noir,romance,scifi,thriller,title,war,western,Unnamed: 0,dates,domestic gross,production budget,title,worldwide gross
0,'Til There Was You (1997),0,0,0,0,0,0,30-May-97,0,1,0,0,1300,0,0,0,1,0,0,'Til There Was You,,,0,12/18/09,"$760,507,625","$425,000,000", Avatar,"$2,783,918,982"
1,1-900 (1994),0,0,0,0,0,0,1-Jan-94,0,0,0,0,1353,0,0,0,1,0,0,1-900,,,1,12/18/15,"$936,662,225","$306,000,000", Star Wars Ep. VII: The Force Awakens,"$2,058,662,225"
2,101 Dalmatians (1996),0,0,0,1,1,0,27-Nov-96,0,0,0,0,225,0,0,0,0,0,0,101 Dalmatians,,,2,5/24/07,"$309,420,425","$300,000,000", Pirates of the Caribbean: At World's End,"$963,420,425"
3,12 Angry Men (1957),0,0,0,0,0,0,1-Jan-57,0,1,0,0,178,0,0,0,0,0,0,12 Angry Men,,,3,11/6/15,"$200,074,175","$300,000,000", Spectre,"$879,620,923"
4,187 (1997),0,0,0,0,0,0,1-Jan-97,0,1,0,0,330,0,0,0,0,0,0,187,,,4,7/20/12,"$448,139,099","$275,000,000", The Dark Knight Rises,"$1,084,439,099"
5,2 Days in the Valley (1996),0,0,0,0,0,1,27-Sep-96,0,0,0,0,1011,0,0,0,0,0,0,2 Days in the Valley,,,5,7/2/13,"$89,302,115","$275,000,000", The Lone Ranger,"$260,002,115"
6,"20,000 Leagues Under the Sea (1954)",0,1,0,1,0,0,1-Jan-54,0,0,1,0,141,0,0,0,0,1,0,"20,000 Leagues Under the Sea",,,6,3/9/12,"$73,058,679","$275,000,000", John Carter,"$282,778,100"
7,2001: A Space Odyssey (1968),0,0,0,0,0,0,1-Jan-68,0,1,0,0,135,0,1,0,0,1,1,2001: A Space Odyssey,,,7,11/24/10,"$200,821,936","$260,000,000", Tangled,"$586,581,936"
8,3 Ninjas: High Noon At Mega Mountain (1998),1,0,0,1,0,0,1-Jan-97,0,0,0,0,314,0,0,0,0,0,0,3 Ninjas: High Noon At Mega Mountain,,,8,5/4/07,"$336,530,303","$258,000,000", Spider-Man 3,"$890,875,303"
9,"39 Steps, The (1935)",0,0,0,0,0,0,1-Jan-35,0,0,0,0,615,0,0,0,0,0,1,"39 Steps, The",,,9,5/1/15,"$459,005,868","$250,000,000", Avengers: Age of Ultron,"$1,404,705,868"
10,8 1/2 (1963),0,0,0,0,0,0,1-Jan-63,0,1,0,0,1021,0,0,0,0,0,0,8 1/2,,,10,5/6/16,"$405,599,617","$250,000,000", Captain America: Civil War,"$1,149,199,617"
11,8 Heads in a Duffel Bag (1997),0,0,0,0,1,0,18-Apr-97,0,0,0,0,1664,0,0,0,0,0,0,8 Heads in a Duffel Bag,,,11,3/25/16,"$330,360,194","$250,000,000", Batman v Superman: Dawn of Justice,"$868,160,194"
12,8 Seconds (1994),0,0,0,0,0,0,1-Jan-94,0,1,0,0,1443,0,0,0,0,0,0,8 Seconds,,,12,12/14/12,"$303,003,568","$250,000,000", The Hobbit: An Unexpected Journey,"$1,017,003,568"
13,A Chef in Love (1996),0,0,0,0,1,0,25-Apr-97,0,0,0,0,1251,0,0,0,0,0,0,A Chef in Love,,,13,7/15/09,"$301,959,197","$250,000,000", Harry Potter and the Half-Blood Prince,"$935,083,686"
14,Above the Rim (1994),0,0,0,0,0,0,1-Jan-94,0,1,0,0,1440,0,0,0,0,0,0,Above the Rim,,,14,12/13/13,"$258,366,855","$250,000,000", The Hobbit: The Desolation of Smaug,"$960,366,855"
15,Absolute Power (1997),0,0,0,0,0,0,14-Feb-97,0,0,0,0,291,0,1,0,0,0,1,Absolute Power,,,15,12/17/14,"$255,119,788","$250,000,000", The Hobbit: The Battle of the Five Armies,"$955,119,788"
16,"Abyss, The (1989)",1,1,0,0,0,0,1-Jan-89,0,0,0,0,164,0,0,0,0,1,1,"Abyss, The",,,16,5/20/11,"$241,063,875","$250,000,000", Pirates of the Caribbean: On Stranger Tides,"$1,045,663,875"
17,Ace Ventura: Pet Detective (1994),0,0,0,0,1,0,1-Jan-94,0,0,0,0,67,0,0,0,0,0,0,Ace Ventura: Pet Detective,,,17,6/28/06,"$200,120,000","$232,000,000", Superman Returns,"$374,085,065"
18,Ace Ventura: When Nature Calls (1995),0,0,0,0,1,0,1-Jan-95,0,0,0,0,364,0,0,0,0,0,0,Ace Ventura: When Nature Calls,,,18,11/14/08,"$169,368,427","$230,000,000", Quantum of Solace,"$591,692,078"
19,Across the Sea of Time (1995),0,0,0,0,0,0,1-Jan-95,1,0,0,0,757,0,0,0,0,0,0,Across the Sea of Time,,,19,5/4/12,"$623,279,547","$225,000,000", The Avengers,"$1,519,479,547"
20,Addams Family Values (1993),0,0,0,0,1,0,1-Jan-93,0,0,0,0,386,0,0,0,0,0,0,Addams Family Values,,,20,7/7/06,"$423,315,812","$225,000,000", Pirates of the Caribbean: Dead Man's Chest,"$1,066,215,812"
21,Addicted to Love (1997),0,0,0,0,1,0,23-May-97,0,0,0,0,535,0,0,0,1,0,0,Addicted to Love,,,21,6/14/13,"$291,045,518","$225,000,000", Man of Steel,"$667,999,518"
22,"Addiction, The (1995)",0,0,0,0,0,0,1-Jan-95,0,0,0,1,767,0,0,0,0,0,0,"Addiction, The",,,22,5/16/08,"$141,621,490","$225,000,000", The Chronicles of Narnia: Prince Caspian,"$417,341,288"
23,"Adventures of Pinocchio, The (1996)",0,1,0,1,0,0,26-Jul-96,0,0,0,0,1060,0,0,0,0,0,0,"Adventures of Pinocchio, The",,,23,7/3/12,"$262,030,663","$220,000,000", The Amazing Spider-Man,"$757,890,267"
24,"Adventures of Priscilla, Queen of the Desert, The (1994)",0,0,0,0,1,0,1-Jan-94,0,1,0,0,382,0,0,0,0,0,0,"Adventures of Priscilla, Queen of the Desert, The",,,24,6/12/15,"$652,198,010","$215,000,000", Jurassic World,"$1,670,328,025"
25,"Adventures of Robin Hood, The (1938)",1,1,0,0,0,0,1-Jan-38,0,0,0,0,491,0,0,0,0,0,0,"Adventures of Robin Hood, The",,,25,5/25/12,"$179,020,854","$215,000,000", Men in Black 3,"$654,213,485"
26,"Affair to Remember, An (1957)",0,0,0,0,0,0,1-Jan-57,0,0,0,0,966,0,0,0,1,0,0,"Affair to Remember, An",,,26,6/24/09,"$402,111,870","$210,000,000", Transformers: Revenge of the Fallen,"$836,519,699"
27,"African Queen, The (1951)",1,1,0,0,0,0,1-Jan-51,0,0,0,0,498,0,0,0,1,0,0,"African Queen, The",,,27,6/27/14,"$245,439,076","$210,000,000", Transformers: Age of Extinction,"$1,104,039,076"
28,Afterglow (1997),0,0,0,0,0,0,26-Dec-97,0,1,0,0,903,0,0,0,1,0,0,Afterglow,,,28,5/26/06,"$234,362,462","$210,000,000", X-Men: The Last Stand,"$459,359,555"
29,"Age of Innocence, The (1993)",0,0,0,0,0,0,1-Jan-93,0,1,0,0,387,0,0,0,0,0,0,"Age of Innocence, The",,,29,5/14/10,"$105,269,730","$210,000,000", Robin Hood,"$322,241,588"
30,Aiqing wansui (1994),0,0,0,0,0,0,22-Jul-96,0,1,0,0,1536,0,0,0,0,0,0,Aiqing wansui,,,30,5/18/12,"$65,233,400","$209,000,000", Battleship,"$305,218,228"
31,Air Bud (1997),0,0,0,1,1,0,1-Aug-97,0,0,0,0,261,0,0,0,0,0,0,Air Bud,,,31,12/14/05,"$218,080,025","$207,000,000", King Kong,"$550,517,357"
32,Air Force One (1997),1,0,0,0,0,0,1-Jan-97,0,0,0,0,300,0,0,0,0,0,1,Air Force One,,,32,12/1/07,"$70,107,728","$205,000,000", The Golden Compass,"$367,262,558"
33,"Air Up There, The (1994)",0,0,0,0,1,0,1-Jan-94,0,0,0,0,801,0,0,0,0,0,0,"Air Up There, The",,,33,12/19/97,"$658,672,302","$200,000,000", Titanic,"$2,207,615,668"
34,Airheads (1994),0,0,0,0,1,0,1-Jan-94,0,0,0,0,940,0,0,0,0,0,0,Airheads,,,34,6/18/10,"$415,004,880","$200,000,000", Toy Story 3,"$1,069,818,229"
35,Akira (1988),0,1,1,0,0,0,1-Jan-88,0,0,0,0,206,0,0,0,0,1,1,Akira,,,35,5/3/13,"$408,992,272","$200,000,000", Iron Man 3,"$1,215,392,272"
36,Aladdin (1992),0,0,1,1,1,0,1-Jan-92,0,0,0,0,95,1,0,0,0,0,0,Aladdin,,,36,6/30/04,"$373,524,485","$200,000,000", Spider-Man 2,"$783,705,001"
37,Aladdin and the King of Thieves (1996),0,0,1,1,1,0,1-Jan-96,0,0,0,0,422,0,0,0,0,0,0,Aladdin and the King of Thieves,,,37,3/5/10,"$334,191,110","$200,000,000", Alice in Wonderland,"$1,025,491,110"
38,Alaska (1996),0,1,0,1,0,0,21-Aug-96,0,0,0,0,828,0,0,0,0,0,0,Alaska,,,38,11/8/12,"$304,360,277","$200,000,000", Skyfall,"$1,110,526,981"
39,Albino Alligator (1996),0,0,0,0,0,1,17-Jan-97,0,0,0,0,1083,0,0,0,0,0,1,Albino Alligator,,,39,6/21/13,"$268,488,329","$200,000,000", Monsters University,"$743,588,329"
40,Alice in Wonderland (1951),0,0,1,1,0,0,1-Jan-51,0,0,0,0,420,1,0,0,0,0,0,Alice in Wonderland,,,40,3/8/13,"$234,770,996","$200,000,000", Oz the Great and Powerful,"$490,359,051"
41,Alien (1979),1,0,0,0,0,0,1-Jan-79,0,0,0,1,183,0,0,0,0,1,1,Alien,,,41,5/23/14,"$233,921,534","$200,000,000", X-Men: Days of Future Past,"$747,862,775"
42,Alien 3 (1992),1,0,0,0,0,0,1-Jan-92,0,0,0,1,665,0,0,0,0,1,1,Alien 3,,,42,5/2/14,"$202,853,933","$200,000,000", The Amazing Spider-Man 2,"$708,996,336"
43,Alien: Resurrection (1997),1,0,0,0,0,0,1-Jan-97,0,0,0,1,343,0,0,0,0,1,0,Alien: Resurrection,,,43,6/24/11,"$191,450,875","$200,000,000", Cars 2,"$560,155,383"
44,Aliens (1986),1,0,0,0,0,0,1-Jan-86,0,0,0,0,176,0,0,0,0,1,1,Aliens,,,44,12/17/10,"$172,062,763","$200,000,000", Tron: Legacy,"$397,562,763"
45,All About Eve (1950),0,0,0,0,0,0,1-Jan-50,0,1,0,0,606,0,0,0,0,0,0,All About Eve,,,45,11/13/09,"$166,112,167","$200,000,000",2012,"$788,408,539"
46,All Dogs Go to Heaven 2 (1996),0,0,1,1,0,0,29-Mar-96,0,0,0,0,103,1,0,0,0,0,0,All Dogs Go to Heaven 2,,,46,5/21/09,"$125,322,469","$200,000,000", Terminator Salvation,"$365,491,792"
47,All Over Me (1997),0,0,0,0,0,0,25-Apr-97,0,1,0,0,1538,0,0,0,0,0,0,All Over Me,,,47,6/17/11,"$116,601,172","$200,000,000", Green Lantern,"$231,201,172"
